time	V(vin)	V(vout)
2.008301797787512e-002	-9.776914e-001	-4.038412e-002
2.012641366682337e-002	-9.776426e-001	-4.065713e-002
2.017928059292574e-002	-9.775832e-001	-4.109102e-002
2.024253295495816e-002	-9.775122e-001	-4.180002e-002
2.033544097478469e-002	-9.774078e-001	-4.312178e-002
2.043104511818237e-002	-9.773004e-001	-4.462302e-002
2.055073284365622e-002	-9.771659e-001	-4.650207e-002
2.055625783614743e-002	-9.771597e-001	-4.658445e-002
2.056730782112987e-002	-9.771473e-001	-4.674152e-002
2.058940779109473e-002	-9.771225e-001	-4.704659e-002
2.063360773102446e-002	-9.770728e-001	-4.763840e-002
2.064113133192750e-002	-9.770643e-001	-4.773606e-002
2.065617853373360e-002	-9.770474e-001	-4.792666e-002
2.065994033418513e-002	-9.770432e-001	-4.797373e-002
2.066746393508818e-002	-9.770347e-001	-4.806635e-002
2.068251113689428e-002	-9.770178e-001	-4.824745e-002
2.070776283000732e-002	-9.769894e-001	-4.854101e-002
2.073438067101164e-002	-9.769595e-001	-4.883440e-002
2.078761635302029e-002	-9.768997e-001	-4.937877e-002
2.087707416352977e-002	-9.767991e-001	-5.022518e-002
2.094814225217488e-002	-9.767193e-001	-5.085063e-002
2.101933405298366e-002	-9.766392e-001	-5.143953e-002
2.110843525645299e-002	-9.765390e-001	-5.214446e-002
2.118992356721641e-002	-9.764474e-001	-5.276646e-002
2.128503367555625e-002	-9.763405e-001	-5.347183e-002
2.138126961035604e-002	-9.762322e-001	-5.417020e-002
2.150350278085569e-002	-9.760947e-001	-5.504244e-002
2.164135600356530e-002	-9.759396e-001	-5.601377e-002
2.180844503608017e-002	-9.757516e-001	-5.717766e-002
2.198618148148980e-002	-9.755516e-001	-5.840093e-002
2.217250474843602e-002	-9.753419e-001	-5.966717e-002
2.233721378901916e-002	-9.751565e-001	-6.077208e-002
2.251184965896052e-002	-9.749599e-001	-6.192869e-002
2.266940084229397e-002	-9.747824e-001	-6.295918e-002
2.283126793480564e-002	-9.746001e-001	-6.400478e-002
2.298513727114788e-002	-9.744267e-001	-6.498653e-002
2.314445233123238e-002	-9.742472e-001	-6.599311e-002
2.316378572228284e-002	-9.742254e-001	-6.611435e-002
2.320245250438377e-002	-9.741818e-001	-6.635549e-002
2.326491950634761e-002	-9.741114e-001	-6.674406e-002
2.327395237602721e-002	-9.741012e-001	-6.680010e-002
2.329201811538640e-002	-9.740809e-001	-6.691191e-002
2.332321554756272e-002	-9.740458e-001	-6.710474e-002
2.332779213655093e-002	-9.740406e-001	-6.713299e-002
2.333694531452736e-002	-9.740303e-001	-6.718943e-002
2.334958089354532e-002	-9.740160e-001	-6.726728e-002
2.336198271782645e-002	-9.740021e-001	-6.734361e-002
2.338095774864330e-002	-9.739807e-001	-6.746025e-002
2.340097281770544e-002	-9.739581e-001	-6.758315e-002
2.344100295582971e-002	-9.739130e-001	-6.783012e-002
2.348453043214359e-002	-9.738639e-001	-6.810673e-002
2.354210462243053e-002	-9.737990e-001	-6.850014e-002
2.361016857999034e-002	-9.737223e-001	-6.902482e-002
2.371820308343739e-002	-9.736004e-001	-6.996632e-002
2.383720285985260e-002	-9.734662e-001	-7.108694e-002
2.394618185636587e-002	-9.733433e-001	-7.214472e-002
2.396365454614047e-002	-9.733236e-001	-7.231426e-002
2.399859992568969e-002	-9.732842e-001	-7.265116e-002
2.400733627057699e-002	-9.732744e-001	-7.273483e-002
2.402480896035160e-002	-9.732546e-001	-7.290039e-002
2.405975433990081e-002	-9.732152e-001	-7.322628e-002
2.409690729317350e-002	-9.731733e-001	-7.356488e-002
2.413421185180503e-002	-9.731312e-001	-7.389399e-002
2.420882096906809e-002	-9.730471e-001	-7.452929e-002
2.428147277599229e-002	-9.729651e-001	-7.512666e-002
2.435609559745111e-002	-9.728809e-001	-7.571914e-002
2.444708206093762e-002	-9.727782e-001	-7.642116e-002
2.452950557319922e-002	-9.726852e-001	-7.704228e-002
2.462388763444895e-002	-9.725786e-001	-7.774021e-002
2.471935727724036e-002	-9.724709e-001	-7.843640e-002
2.483959631839846e-002	-9.723352e-001	-7.930367e-002
2.497552672064230e-002	-9.721817e-001	-8.027579e-002
2.507083043772877e-002	-9.720740e-001	-8.095249e-002
2.512446708033195e-002	-9.720135e-001	-8.133131e-002
2.513787624098274e-002	-9.719983e-001	-8.142570e-002
2.516469456228433e-002	-9.719681e-001	-8.161403e-002
2.520224310173171e-002	-9.719256e-001	-8.187727e-002
2.522221201855087e-002	-9.719031e-001	-8.201703e-002
2.522720424775566e-002	-9.718974e-001	-8.205193e-002
2.523718870616524e-002	-9.718862e-001	-8.212166e-002
2.525155345419963e-002	-9.718699e-001	-8.222190e-002
2.526966815397519e-002	-9.718495e-001	-8.234816e-002
2.528975542873361e-002	-9.718268e-001	-8.248802e-002
2.532759030929016e-002	-9.717841e-001	-8.275265e-002
2.537098555629181e-002	-9.717351e-001	-8.306518e-002
2.542556357163371e-002	-9.716734e-001	-8.348913e-002
2.549043021569354e-002	-9.716001e-001	-8.406238e-002
2.558884821578528e-002	-9.714889e-001	-8.505674e-002
2.568952294670411e-002	-9.713751e-001	-8.617059e-002
2.580616206213508e-002	-9.712433e-001	-8.751254e-002
2.582108866540866e-002	-9.712265e-001	-8.768469e-002
2.585094187195581e-002	-9.711927e-001	-8.802713e-002
2.585840517359260e-002	-9.711843e-001	-8.811226e-002
2.587333177686617e-002	-9.711674e-001	-8.828133e-002
2.590318498341332e-002	-9.711336e-001	-8.861487e-002
2.596289139650762e-002	-9.710662e-001	-8.926672e-002
2.600801954483683e-002	-9.710152e-001	-8.974311e-002
2.605464083973156e-002	-9.709625e-001	-9.021606e-002
2.610612396529689e-002	-9.709042e-001	-9.071765e-002
