time	V(output2)	V(vin2)
1.656589253388633e-002	-3.379175e-001	-9.668682e-001
1.657252748341090e-002	-3.381563e-001	-9.668549e-001
1.657418622079204e-002	-3.382160e-001	-9.668517e-001
1.657750369555432e-002	-3.383354e-001	-9.668450e-001
1.658413864507889e-002	-3.385743e-001	-9.668317e-001
1.659740854412802e-002	-3.390520e-001	-9.668052e-001
1.662316088728413e-002	-3.399791e-001	-9.667537e-001
1.662635894483622e-002	-3.400942e-001	-9.667473e-001
1.663275505994042e-002	-3.403243e-001	-9.667345e-001
1.664554729014880e-002	-3.407840e-001	-9.667089e-001
1.667113175056557e-002	-3.417015e-001	-9.666578e-001
1.669687029427204e-002	-3.426208e-001	-9.666063e-001
1.674834738168497e-002	-3.444518e-001	-9.665033e-001
1.675912424728591e-002	-3.448336e-001	-9.664817e-001
1.678067797848781e-002	-3.455936e-001	-9.664387e-001
1.682378544089159e-002	-3.471091e-001	-9.663524e-001
1.683234661743775e-002	-3.474091e-001	-9.663353e-001
1.684946897053007e-002	-3.480062e-001	-9.663011e-001
1.688371367671470e-002	-3.491940e-001	-9.662326e-001
1.692201126147850e-002	-3.505124e-001	-9.661560e-001
1.695892007892386e-002	-3.517696e-001	-9.660822e-001
1.703273771381457e-002	-3.542530e-001	-9.659345e-001
1.712615174572498e-002	-3.573563e-001	-9.657477e-001
1.722245680407491e-002	-3.605185e-001	-9.655551e-001
1.731158546066352e-002	-3.634188e-001	-9.653769e-001
1.740561370775626e-002	-3.664590e-001	-9.651888e-001
1.751017560198710e-002	-3.698225e-001	-9.649796e-001
1.763772923029646e-002	-3.739049e-001	-9.647245e-001
1.779378843547514e-002	-3.788717e-001	-9.644125e-001
1.796048492046467e-002	-3.841430e-001	-9.640790e-001
1.814109182571297e-002	-3.898148e-001	-9.637178e-001
1.831047622727988e-002	-3.950965e-001	-9.633790e-001
1.848036014606736e-002	-4.003561e-001	-9.630393e-001
1.863756950158792e-002	-4.051936e-001	-9.627249e-001
1.872151075010529e-002	-4.077639e-001	-9.625570e-001
1.876987155778736e-002	-4.092400e-001	-9.624603e-001
1.877813629619491e-002	-4.094918e-001	-9.624437e-001
1.879466577301001e-002	-4.099949e-001	-9.624107e-001
1.882772472664022e-002	-4.110004e-001	-9.623445e-001
1.883200912764864e-002	-4.111306e-001	-9.623360e-001
1.884057792966547e-002	-4.113909e-001	-9.623188e-001
1.884994736832015e-002	-4.116754e-001	-9.623001e-001
1.886163793428294e-002	-4.120302e-001	-9.622767e-001
1.887321606354655e-002	-4.123815e-001	-9.622536e-001
1.888947044917413e-002	-4.128743e-001	-9.622211e-001
1.890685937247968e-002	-4.134010e-001	-9.621863e-001
1.894163721909077e-002	-4.144532e-001	-9.621167e-001
1.898351015273321e-002	-4.157181e-001	-9.620330e-001
