time	V(vin)	V(n032)
7.518439083251399e-002	8.103768e-001	9.361733e-002
7.522823773376562e-002	8.106995e-001	9.384635e-002
7.529165963770217e-002	8.111659e-001	9.427281e-002
7.536487058279209e-002	8.117036e-001	9.493569e-002
7.546962626013902e-002	8.124717e-001	9.611961e-002
7.556488900511084e-002	8.131690e-001	9.730610e-002
7.568772732881021e-002	8.140665e-001	9.885772e-002
7.570076916212928e-002	8.141617e-001	9.901719e-002
7.572685282876743e-002	8.143519e-001	9.932122e-002
7.577902016204373e-002	8.147323e-001	9.989540e-002
7.583363420171162e-002	8.151300e-001	1.004476e-001
7.588163549592002e-002	8.154793e-001	1.008851e-001
